# VERIFIED forcing matrix — CMIP5 historical (1850–2005). Compiled from per-model research files.
# Baseline: Taylor et al. 2012 (BAMS doi:10.1175/BAMS-D-11-00094.1) standard protocol.
# Temporal codes: TV=time-varying · FXc=fixed climatology · FXk=fixed constant (value in parentheses)
#                 n/a=not applied · ?=unknown/unverified · TV+=interactive (exceeds prescribed standard)
# Verdict codes: std=follows standard protocol · dev=deviates (different dataset) · exc=exceeds standard
#                (interactive where prescribed was standard) · ?=unverified
# ESM column: documents additional forcing inputs for ESM-component models (N-dep, CO2-mode, iron dep, etc.)
model_id,G,O,SD,SI,BC,OC,MD,SS,LU,SO,VL,FC,esm_inputs,protocol_deviations
gfdl_cm2p1,"TV(Meinshausen2011) std","TV(Cionni2011) std","TV(Lamarque2010-OD) std","n/a(absent-Delworth2006:indirect-effects-omitted-in-CM2.0-and-CM2.1) ✗dev","TV(Lamarque2010-OD) std","TV(Lamarque2010-OD) std","FXc(GOCART/Ginoux2001-prescribed-3D-monthly-climatology) ✗dev","FXk(Haywood1999-constant-below-850hPa) ✗dev","TV(Hurtt2011) std","?(Wang2005-std-unconfirmed)","?(Sato1993upd-std-unconfirmed)","na","none(AOGCM-not-ESM)","SI=n/a(Delworth2006-Sect2a2:indirect-effects-omitted;confirmed;second-pass-2026-06-21); MD=✗dev(GOCART/Ginoux2001-prescribed-monthly-climatology;NOT-Lamarque2010-transient;Delworth2006;confirmed;second-pass-2026-06-21); SS=✗dev(Haywood1999-constant-BL;NOT-Lamarque2010-transient;Delworth2006;confirmed;second-pass-2026-06-21)"
gfdl_cm3,"TV(Meinshausen2011) std","TV+(AM3-interactive-85species) exc","TV+(AM3-interactive-sulphate-from-Lamarque2010-SO2) exc","TV+(AM3-prog-cloud-droplet-activation) exc","TV+(AM3-interactive-BC-from-Lamarque2010) exc","TV+(AM3-interactive-OC+SOA-from-Lamarque2010) exc","TV+(AM3-interactive-dust) exc","TV+(AM3-interactive-seaSalt) exc","TV(Hurtt2011) std","TV(Frohlich&Lean2004-via-SPARC-SOLARIS-TIM-scaled) ✓std","TV(Stenchikov2006-prescribed-volcanic-optical-props-Sato1993upd;Donner2011-s3a) ✓std","na","Lamarque2010-emissions(NOx/VOC/CO/SO2) drive AM3 interactive chemistry; likely BC-on-snow via prognostic deposition","O-exc(interactive-AM3;Donner2011);SD/SI/BC/OC/MD/SS-exc(all-20-interactive-species;Donner2011:first-coupled-chem-clim-model);SO=✓std(Frohlich&Lean2004-SPARC-SOLARIS;Donner2011-s4a);VL=✓std(Stenchikov2006-Sato1993upd;Donner2011-s3a)"
gfdl_esm2g,"TV(Meinshausen2011-conc-driven-historical) std","TV(Cionni2011) std","TV(Lamarque2010-OD) std","?(AM2.1-indirect-unconfirmed)","TV(Lamarque2010-OD) std","TV(Lamarque2010-OD) std","?(AM2.1-unconfirmed)","?(AM2.1-unconfirmed)","TV(Hurtt2011) std","?(Wang2005-std-unconfirmed)","?(Sato1993upd-std-unconfirmed)","na","Lamarque2013-ACCMIP-N+S-dep(likely);CO2-conc(historical)+emis-driven(esmHistorical;PCMDI-fossil+LUC-datasets);TOPAZ-iron-dep-unconfirmed;ocean-C-init-unconfirmed","none(ESM-additional-inputs-are-additions-not-deviations)"
gfdl_esm2m,"TV(Meinshausen2011-conc-driven-historical) std","TV(Cionni2011) std","TV(Lamarque2010-OD) std","?(AM2.1-indirect-unconfirmed)","TV(Lamarque2010-OD) std","TV(Lamarque2010-OD) std","?(AM2.1-unconfirmed)","?(AM2.1-unconfirmed)","TV(Hurtt2011) std","?(Wang2005-std-unconfirmed)","?(Sato1993upd-std-unconfirmed)","na","same-as-ESM2G(TOPAZ+LM3-identical;ocean-physics-differs-only);Lamarque2013-ACCMIP-N+S-dep(likely);CO2-conc(historical)+emis(esmHistorical)","none(identical-to-ESM2G-for-atmospheric-forcing)"
giss_e2_h,"?(Meinshausen2011-expected-std)","TV(NINT:Shindell2003-offline-NOT-Cionni2011)✗dev / TV+(TCAD/TCADI:interactive-OMA)exc","TV(NINT:Miller2006a+Koch2011-offline-NOT-Lamarque2010-OD)✗dev / TV+(TCAD/TCADI:interactive-OMA)exc","TV(NINT/TCAD:crude-Hansen2005-tuned-AIE) ~dev / TV+(TCADI-p3:1st-indirect-prognostic-CDNC) exc","TV(NINT:Miller2006a+Koch2011)✗dev / TV+(TCAD/TCADI)exc","TV(NINT:Miller2006a+Koch2011)✗dev / TV+(TCAD/TCADI)exc","TV(NINT:Koch2011-offline-suite)✗dev / TV+(TCAD/TCADI:interactive-Schmidt2014-s2.2.2) exc","TV(NINT:Koch2011-offline-suite)✗dev / TV+(TCAD/TCADI:interactive-Schmidt2014-s2.2.2) exc","?(Hurtt2011-expected-std)","TV(Wang2005;Schmidt2014-s2.4-verbatim) ✓std","TV(Sato-updated)✓std","na","not-ESM;BC-snow=exc(applied-all-phys-versions;Schmidt2014-p4)","SO=✓std(Wang2005;Schmidt2014-s2.4-verbatim;confirmed-1-0;switch-from-CMIP3-Lean2000);VL=✓std(Sato-updated);BC-snow=exc(applied;Schmidt2014-p4);SI=dev(NINT/TCAD-crude-Hansen2005-AIE;not-standard-1st-indirect)/exc(TCADI-prognostic-CDNC;Schmidt2014-s2.2.4);MD/SS=dev(NINT-Koch2011-offline)/exc(TCAD/TCADI-interactive;Schmidt2014-s2.2.2);O/SD/BC/OC✗dev(NINT:confirmed-1-0)"
giss_e2_h_cc,"TV(GISS-in-house-Hansen/Sato2004;NOT-Meinshausen2011) ✗dev","TV(Shindell2006a-offline-NOT-Cionni2011;NINT-p1) ✗dev","TV(Koch2011-offline-aerosol;NOT-Lamarque2010-OD;NINT-p1) ✗dev","TV(Hansen2005-tuned-AIE;NOT-standard-indirect;NINT-p1) ✗dev","TV(Koch2011-offline-BC;NINT-p1) ✗dev","TV(Koch2011-offline-OC;NINT-p1) ✗dev","TV(Koch2011-offline-dust;NINT-p1) ✗dev","TV(Koch2011-offline-seaSalt;NINT-p1) ✗dev","TV(HYDE3.0+Pongratz2008-blend;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std","TV(Sato-updated) ✓std","na","CC=interactive-C-cycle(terrestrial+ocean-BGC); CO2=conc-driven-historical","physics_version=p1(NINT)-confirmed-from-rundeck-E_AR5_NINT_oH_CC.R; G=✗dev(GISS-in-house-Hansen/Sato2004;NOT-Meinshausen2011;Miller2014-Table3); LU=✗dev(HYDE3.0+Pongratz2008;NOT-Hurtt2011;Miller2014-Sect3.8); all-atmos-forcing=identical-to-E2-H-p1(CC=carbon-cycle-only); second-pass-2026-06-21"
giss_e2_r,"?(Meinshausen2011-expected-std)","TV(NINT:Shindell2003-NOT-Cionni2011)✗dev / TV+(TCAD/TCADI:interactive-OMA)exc","TV(NINT:Miller2006a+Koch2011-NOT-Lamarque2010-OD)✗dev / TV+(TCAD/TCADI)exc","?(NINT:none) / TV+(TCADI:AIE)","TV(NINT:Miller2006a+Koch2011)✗dev / TV+(TCAD/TCADI)exc","TV(NINT)✗dev / TV+(TCAD/TCADI)exc","?","?","?(Hurtt2011-expected)","?(Wang2005-or-Lean2000)","TV(Sato-updated)✓std","na","not-ESM;BC-snow-unconfirmed","identical-to-E2-H-atmosphere;O+SD/BC/OC-dev(NINT)/exc(TCAD/TCADI);physics_version-per-named-model-unconfirmed"
giss_e2_r_cc,"TV(GISS-in-house-Hansen/Sato2004;NOT-Meinshausen2011) ✗dev","TV(Shindell2006a-offline-NOT-Cionni2011;NINT-p1) ✗dev","TV(Koch2011-offline-aerosol;NOT-Lamarque2010-OD;NINT-p1) ✗dev","TV(Hansen2005-tuned-AIE;NOT-standard-indirect;NINT-p1) ✗dev","TV(Koch2011-offline-BC;NINT-p1) ✗dev","TV(Koch2011-offline-OC;NINT-p1) ✗dev","TV(Koch2011-offline-dust;NINT-p1) ✗dev","TV(Koch2011-offline-seaSalt;NINT-p1) ✗dev","TV(HYDE3.0+Pongratz2008-blend;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std","TV(Sato-updated) ✓std","na","CC=interactive-C-cycle; CO2=conc-driven-historical","physics_version=p1(NINT)-confirmed-from-rundeck-E_AR5_NINT_oR_CC.R; identical-atmos-forcing-to-E2-H-CC(Russell-vs-HYCOM-ocean-only-difference); second-pass-2026-06-21"
ccsm4,"TV(IPCC-TAR-GHGs;NOT-Meinshausen2011) ✗dev","?(Cionni2011-expected) ?std","TV(Lamarque2010-OD) std","n/a(CAM4-direct-only-confirmed-1-0)","TV(Lamarque2010-OD) std","TV(Lamarque2010-OD) std","TV(Lamarque2010-OD) std","TV(Lamarque2010-OD) std","TV(Hurtt2006;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std","TV(Ammann2003;NOT-Sato1993upd) ✗dev","na","none(AOGCM)","G=✗dev(IPCC-TAR;NOT-Meinshausen2011;Gent2011-Sect3-verbatim;confirmed;second-pass-2026-06-21); LU=✗dev(Hurtt2006;NOT-Hurtt2011;Gent2011-Sect3-verbatim;confirmed;second-pass-2026-06-21); VL=✗dev(Ammann2003;NOT-Sato1993upd;Gent2011-Sect3-verbatim;confirmed;second-pass-2026-06-21); SI=n/a(CAM4-direct-only;Meehl2013); SO=✓std(Wang2005)"
cesm1_bgc,"TV(IPCC-TAR-GHGs;NOT-Meinshausen2011) ✗dev","?(Cionni2011-expected) ?std","TV(Lamarque2010-OD) std(inherited-CCSM4)","n/a(CAM4-direct-only;inherited)","TV(Lamarque2010-OD) std(inherited)","TV(Lamarque2010-OD) std(inherited)","TV(Lamarque2010-OD) std(inherited)","TV(Lamarque2010-OD) std(inherited)","TV(Hurtt2006;NOT-Hurtt2011) ✗dev","TV(Wang2005) ✓std(inherited-CCSM4)","TV(Ammann2003;NOT-Sato1993upd) ✗dev","na","N-dep=TV(Lamarque2010;NOT-2013-ACCMIP;Lindsay2014-primary;adv-inconclusive); CO2=PRES+PROG(Lindsay2014-primary); iron=FXc(Luo2003;Lindsay2014-primary); BC-snow=likely","G/LU/VL=✗dev(inferred-from-NCAR-family;Gent2011-CCSM4;second-pass-2026-06-21); inherits-CCSM4-atmospheric; ESM: N-dep=Lamarque2010; CO2=PRES+PROG; iron=Luo2003-FXc"
