# VERIFIED forcing matrix -- compiled from per-model research files (research/models/*.md).
# This is the corrected counterpart to cmip3-tableS1-forcing-matrix.csv: cells give the
# TEMPORAL TREATMENT actually used (from primary docs), not Table S1's binary Y/-.
# Codes: TV=time-varying . FXc=fixed climatology (seasonal, no interannual) . FXk=fixed constant
#        (scalar value in parentheses, with units) . na=not applied . ?=unknown/unverified
# A trailing "*" on a cell = CONFLICTS with Table S1's Y/- (see conflict column).
# Verified so far: GFDL (Stage 1), GISS (Stage 2). Others pending.
model_id,G,O,SD,SI,BC,OC,MD,SS,LU,SO,VL,FC,tableS1_conflicts
gfdl_cm2_0,TV,TV,TV,na,TV,TV,FXc,FXc,TV,TV,TV,na,none (tropo-O3 time-variation open)
gfdl_cm2_1,TV,TV,TV,na,TV,TV,FXc,FXc,TV,TV,TV,na,none (tropo-O3 time-variation open)
giss_aom,TV(GHGA1B.LP-PCMDI-PDF-confirmed),na,TV,na,na,na,na,FXc?,na,FXk(1367 W m-2),na,na,none confirmed (G/SD/SS unverified)
giss_model_e_h,TV,TV,TV,TV,TV,TV,FXc*,FXc*,TV,TV,TV,na,"MD,SS: Table S1=Y but fixed climatology (not transient)"
giss_model_e_r,TV,TV,TV,TV,TV,TV,FXc*,FXc*,TV,TV,TV,na,"MD,SS: Table S1=Y but fixed climatology (not transient)"
ncar_ccsm3_0,TV(ISAM-CO2+Dai2001-halocarbons),TV(MOZART-tropospheric+NOAA-stratospheric-Kiehl1999),TV(prognostic-sulfur-cycle-Smith2001/2004-SO2-emissions),na,TV(population-scaled-time-evolving),?(Collins2006-default=prescribed-distrib;Meehl2006-silent-on-OC),FXk(year-2000-values),FXk(year-2000-values),FXk(present-day-land-cover),TV(Lean1995),TV,na,none confirmed (all prior candidates resolved from Meehl2006)
ncar_pcm1,TV,TV,TV,na,na,na,na,na,na,TV,TV,na,none
cccma_cgcm3_1_t47,TV,FXc,TV,na,FXk(0.2 mg/m2 soot),FXk(2.55/0.263 mg/m2),FXk(57.71 mg/m2),FXk(18.82 mg/m2),na,na,na,FXc(heat+FW),"FC=F,H confirmed; SO/VL confirmed na -- Boer2000 explicit GHG+sulphate-only closed forcing list; no conflicts"
cccma_cgcm3_1_t63,TV,FXc,TV,na,FXk(0.2 mg/m2 soot),FXk(2.55/0.263 mg/m2),FXk(57.71 mg/m2),FXk(18.82 mg/m2),na,na,na,FXc(heat+FW),"identical to T47; SO/VL confirmed na -- same Boer2000 basis"
csiro_mk3_0,TV(equiv-CO2),FXc(Wang1995-default;20C3M-unconfirmed),FXc(monthly-climatology-Penner1994),na,na,na,na,na,na,na,na,na,"O default FXc confirmed Gordon2002 PDF direct quote; TV capability exists but 20C3M-specific treatment undocumented -- candidate conflict; SO=- confirmed by absence; no further primary source found"
csiro_mk3_5,TV(equiv-CO2),FXc(Wang1995-inferred;20C3M-unconfirmed),FXc(monthly-climatology-Penner1994),na,na,na,na,na,na,na,na,na,"same as Mk3.0; O FXc default inferred from Mk3.0 Gordon2002; 20C3M-specific undocumented; SO=- confirmed by absence"
cnrm_cm3,TV,FXc(Cariolle-Deque1986-linearized-param-fixed-ozone-clim),TV(Boucher&Pham2002 annual),na*,na,na,na,na,na,FXk(1370 W m-2)*,na,na,"SI=Y conflict (direct sulphate only no indirect); SO=Y conflict (fixed 1370 W/m2); VL=Y conflict (no volcanic variability stated)"
ipsl_cm4,TV,FXc*(Table-S1-O=Y-conflict-PCMDI-PDF-all-vars-constant),TV(Boucher&Pham2002 LOA),TV(1st-indirect Boucher-Lohmann1995 POLDER),na,na,na,na,na,FXk(1365 W m-2)*,na,na,"SO=Y conflict (fixed 1365 W/m2 no variability); VL=Y conflict (no natural forcings); O=Y conflict (confirmed): PCMDI PDF 'All other variables are kept constant. There are no natural forcings.'"
mpi_echam5,TV,TV(Kiehl1999-anomaly-from-1870),TV(Boucher-LOA-SRES),TV(1st-indirect Boucher-LOA-SRES),na*,na*,na,na,na*,?(likely na)*,?(likely na)*,na,"BC=Y conflict (not in 20C3M forcing list); OC=Y conflict (same); LU=Y conflict (same); SO/VL=Y likely conflicts (only anthropogenic forcings stated)"
ingv_echam4,TV,FXc*,TV(Boucher&Pham2002 1870-2000),na,na,na,na,na,na,na*,na*,na,"O=Y conflict (ECHAM4 fixed band absorber not TV); SO=Y conflict (not documented); VL=Y conflict (not documented)"
miub_echo_g,TV,FXc*,TV(Boucher-LOA),TV(1st-indirect Lohmann&Feichter1997)*,na,na,na,na,na,TV(Crowley2000-bundled-w-VL),TV(Crowley2000-bundled-w-SO),FXc(heat+water)*,"SI=- conflict; FC=H conflict (heat+water both applied); O=Y conflict confirmed -- ECHAM4 FXc ozone confirmed Legutke1999 PDF"
ukmo_hadcm3,TV,TV(1858-1970-recon),TV(anthrop-SO2-only),TV(delta-albedo-offline),na,na,na,na,na,TV(Lean1995),TV(Sato1993),na,"none -- VL=Y confirmed Stott2000 direct quote: stratospheric aerosols from explosive volcanic eruptions"
ukmo_hadgem1,TV,TV,TV(Smith-PNNL-SO2),TV(CLASSIC-1st+2nd-indirect),TV(Nozawa-NIES),TV(Nozawa-biomass-smoke),na*,TV(interactive-wind-speed-diagnostic-Jones&Roberts2004-Martin2006),TV(Goldewijk2001-HYDE-Run1)*,TV(Solanki&Krivova2003),TV(Sato1993-updated-GISS),na,"MD=Y conflict (confirmed): mineral dust absent from CLASSIC scheme; LU=- conflict (confirmed): Goldewijk2001 HYDE applied in Run1 (PCMDI PDF §V verbatim)"
miroc3_2_hires,TV,TV,TV(SPRINTARS-emissions),TV(SPRINTARS-interactive),TV(SPRINTARS-emissions),TV(SPRINTARS-emissions),TV-diagnosed(SPRINTARS-interactive)~,TV-diagnosed(SPRINTARS-interactive)~,TV,TV,TV,na,"MD=Y/SS=Y nuance: time-varying but diagnosed interactively by SPRINTARS not prescribed from external dataset (not a hard conflict)"
miroc3_2_medres,TV,TV,TV(SPRINTARS-emissions),TV(SPRINTARS-interactive),TV(SPRINTARS-emissions),TV(SPRINTARS-emissions),TV-diagnosed(SPRINTARS-interactive)~,TV-diagnosed(SPRINTARS-interactive)~,TV,TV,TV,na,"identical to hires -- same PCMDI forcing description verbatim"
mri_cgcm2_3_2a,TV,na*(Table-S1-O=Y-strong-conflict-PCMDI-atmospheric-chemistry-not-included),TV(direct-only),na,na,na,na,na,na,TV(Lean1995),TV,FXc(heat+water-global;momentum-12S-12N),"O=Y strong candidate conflict: PCMDI PDF 'atmospheric chemistry: Not included' + absent from four-agent forcing list"
bccr_bcm2.0,TV(ENSEMBLES),na,TV(Boucher&Pham2002-1850-2000-sulfate-burden),na,na,na,na,na,na,FXk(1368 W m-2),na,na,"none confirmed (SO=VL=- verbatim confirmed; SD=Y resolved Boucher&Pham2002)"
iap_fgoals1_0,TV(CO2/N2O/CH4/CFC11/CFC12),FXc(climatological-mean),TV(4ARForcing-sprite.llnl.gov),na,na,na,na,na,na,na(fixed-1367Wm-2-picntrl+absent-20C3M-list-PCMDI-PDF),na(absent-from-exhaustive-20C3M-forcing-list-PCMDI-PDF),na,"SO/VL: confirmed na from primary sources; O=- confirmed (fixed climatological mean)"
inmcm3_0,TV(CO2/CH4/N2O-only;CFC-excluded),FXc(AMIP-II-Wang1995),TV(2D-burden-4ARForcing),na,na,na,na,na,na,TV(4ARForcing-PCM1_A1.nc),TV(pcm_volcanic_1890-2000_T42.nc-PCMDI-PDF-verified),FXc(annual-mean-water-only-GIN/Barents/Kara-seas-no-heat),"Not in Table S1; all forcings documented from primary sources"
